Time_s,ED_x_m,ED_y_m,LV_x_m,LV_y_m,LV_length_m,LV_width_m,visual_angle_W,visual_angle_H,tau,ED_length_m,ED_width_m
1,4341.31,-8921.18,3991.31,-7732.07,5.39,2.29,0.001854521306749162,0.001279538718193745,55.12589285714285,4.64,2.078
2,4335.03,-8899.41,3991.31,-7732.07,5.39,2.29,0.0018891895459345299,0.0013034582893347412,52.84045335658238,4.64,2.078
3,4328.57,-8877.14,3991.31,-7732.07,5.39,2.29,0.0019260368217869249,0.0013288813006215464,50.65913932680017,4.64,2.078
4,4321.96,-8854.36,3991.31,-7732.07,5.39,2.29,0.0019652435099764,0.0013559322033898306,48.61284939507718,4.64,2.078
5,4315.27,-8831.18,3991.31,-7732.07,5.39,2.29,0.002006800336511498,0.0013846045989904657,46.92105263157895,4.64,2.078
6,4308.48,-8807.66,3991.31,-7732.07,5.39,2.29,0.0020507952428714714,0.0014149591632038974,45.281427412814274,4.64,2.078
7,4301.55,-8783.83,3991.31,-7732.07,5.39,2.29,0.0020974153248704,0.0014471249839717172,43.672799999999995,4.64,2.078
8,4294.43,-8759.7,3991.31,-7732.07,5.39,2.29,0.0021468682910365904,0.0014812453711082153,42.094317284925026,4.64,2.078
9,4287.15,-8735.27,3991.31,-7732.07,5.39,2.29,0.002199427572561901,0.0015175089801955474,40.56018698870277,4.64,2.078
10,4279.79,-8710.53,3991.31,-7732.07,5.39,2.29,0.0022553354934654363,0.0015560830042250608,39.067718353212776,4.64,2.078
11,4272.35,-8685.48,3991.31,-7732.07,5.39,2.29,0.0023149318156546,0.0015972018640760996,37.59901178259217,4.64,2.078
12,4264.84,-8660.12,3991.31,-7732.07,5.39,2.29,0.002378528843557199,0.0016410810361661024,36.16754320060105,4.64,2.078
13,4257.28,-8634.45,3991.31,-7732.07,5.39,2.29,0.0024465289203222155,0.001687998119698297,34.75751949498701,4.64,2.078
14,4249.67,-8608.5,3991.31,-7732.07,5.39,2.29,0.002519307355497371,0.0017382120618715483,33.47992633517496,4.64,2.078
15,4242.06,-8582.42,3991.31,-7732.07,5.39,2.29,0.0025969313117338204,0.0017917692019822867,32.41948529411765,4.64,2.078
16,4234.35,-8556.29,3991.31,-7732.07,5.39,2.29,0.0026797102636413636,0.001848883063997098,31.268569337724117,4.64,2.078
17,4226.53,-8529.98,3991.31,-7732.07,5.39,2.29,0.0027686430022245867,0.0019102427700938196,29.946415640839973,4.64,2.078
18,4218.69,-8503.31,3991.31,-7732.07,5.39,2.29,0.002864935194915678,0.0019766801781514287,28.51658936853372,4.64,2.078
19,4210.79,-8476.21,3991.31,-7732.07,5.39,2.29,0.0029697834262741537,0.00204902087926339,27.10369068541301,4.64,2.078
20,4202.69,-8448.74,3991.31,-7732.07,5.39,2.29,0.003084341243972739,0.0021280607709506234,25.72626472626473,4.64,2.078
21,4194.4,-8420.9,3991.31,-7732.07,5.39,2.29,0.0032099353807768325,0.0022147152408853255,24.373419883840107,4.64,2.078
22,4186.03,-8392.67,3991.31,-7732.07,5.39,2.29,0.003348149014562255,0.0023100766126674076,23.06779089376054,4.64,2.078
23,4177.57,-8364.16,3991.31,-7732.07,5.39,2.29,0.00350035156369417,0.0024150897251689033,21.961060758643843,4.64,2.078
24,4169.12,-8335.65,3991.31,-7732.07,5.39,2.29,0.003667050986420702,0.0025301050473994363,21.019185459441267,4.64,2.078
25,4160.71,-8307.13,3991.31,-7732.07,5.39,2.29,0.003850357292980244,0.0026565783942833123,19.951358604495137,4.64,2.078
26,4152.27,-8278.46,3991.31,-7732.07,5.39,2.29,0.004054101901356088,0.0027971532769181743,18.82239253582139,4.64,2.078
27,4143.75,-8249.59,3991.31,-7732.07,5.39,2.29,0.004282294861246166,0.002954596454484255,17.695565850430178,4.64,2.078
28,4135.19,-8220.51,3991.31,-7732.07,5.39,2.29,0.004539597581524433,0.0031321240955496086,16.577390732829443,4.64,2.078
29,4126.54,-8191.25,3991.31,-7732.07,5.39,2.29,0.004831835253407604,0.0033337553276786094,15.473065621939273,4.64,2.078
30,4117.83,-8161.8,3991.31,-7732.07,5.39,2.29,0.005166734353142908,0.0035648210820811333,14.37625689263704,4.64,2.078
31,4109.05,-8132.15,3991.31,-7732.07,5.39,2.29,0.0055540733913802725,0.0038320681040964325,13.287463744763134,4.64,2.078
32,4100.26,-8102.31,3991.31,-7732.07,5.39,2.29,0.006007345225603358,0.004144805876180483,12.210121716848176,4.64,2.078
33,4091.41,-8072.29,3991.31,-7732.07,5.39,2.29,0.00654472706487568,0.004515575878822521,11.139764406240051,4.64,2.078
34,4082.5,-8042.2,3991.31,-7732.07,5.39,2.29,0.007189727167121912,0.004960597783429092,10.156568877551019,4.64,2.078
35,4073.65,-8012.2,3991.31,-7732.07,5.39,2.29,0.007972704801030532,0.005500818159662988,9.20019218449712,4.64,2.078
36,4064.89,-7982.31,3991.31,-7732.07,5.39,2.29,0.008942168768792223,0.006169705962747472,8.234405144694534,4.64,2.078
37,4056.16,-7952.54,3991.31,-7732.07,5.39,2.29,0.010174612342826676,0.007020038210334563,7.262665375927718,4.64,2.078
38,4047.42,-7922.87,3991.31,-7732.07,5.39,2.29,0.011796219028486066,0.008138876010920518,6.272374798061389,4.64,2.078
39,4038.67,-7893.21,3991.31,-7732.07,5.39,2.29,0.014031003002267017,0.009680779364009557,5.2904376012965955,4.64,2.078
40,4030.05,-7863.94,3991.31,-7732.07,5.39,2.29,0.017256970610399398,0.011906556141672948,4.401326699834162,4.64,2.078
41,4021.73,-7835.4,3991.31,-7732.07,5.39,2.29,0.022239487229290086,0.015344275031562592,3.525162615542623,4.64,2.078
42,4013.88,-7808.55,3991.31,-7732.07,5.39,2.29,0.030533333333333332,0.021066666666666668,2.8323262839879155,4.64,2.078
43,4007.13,-7785.54,3991.31,-7732.07,5.39,2.29,0.0448843590748726,0.030968247745981968,2.4576107899807322,4.64,2.078
44,4002.5,-7769.67,3991.31,-7732.07,5.39,2.29,0.0663960568280661,0.04581037982023775,2.7792103142626914,4.64,2.078
45,3999.97,-7761.07,3991.31,-7732.07,5.39,2.29,0.08973354231974921,0.06191222570532916,4.102893890675241,4.64,2.078
46,3998.79,-7757.06,3991.31,-7732.07,5.39,2.29,0.10731021555763824,0.07403936269915652,9.612612612612612,4.64,2.078
47,3998.6,-7756.41,3991.31,-7732.07,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,4.64,2.078
48,3998.6,-7756.41,3991.31,-7732.07,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,4.64,2.078
49,3998.6,-7756.41,3991.31,-7732.07,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,4.64,2.078
